,QUESTION,DIFF,WEIGHT,TYPE ,CORRECT,OPTION1,OPTION2,OPTION3,OPTION4
217,What year was development on the Dalvik virtual machine started ?,Easy,1,Evaluation-Android,b)2005,a)2003,b)2005,c)2007,d)2006
218,Which of these are not one of the three main componenet of the APK,Medium,1,Evaluation-Android,c)Webkit,a)Dalvik,Resources,c)Webkit,d)Libraries
219,The emulator is identical to running a real phone expect when emulating what ? ,Easy,1,Evaluation-Android,c)Sensors,a)Telephone,b)Application,c)Sensors,d)Emulator
220,The R file is a generated file,Expert,1,Evaluation-Android,a)automatically,a)automatically,b)manually,c)Emulated,d)None of the above.
221,An activity can be thought of as corresponding to what?,Expert,1,Evaluation-Android,a)Java class,a)Java class,b)java project,c)java method,d)an object filed
222,"In android studio, currently open file location can be shown by",Easy,1,Evaluation-Android,a)navigation bar,a)navigation bar,b)tool bar,c)menu bar,d)editor tab
223,A class that allows to display messages on logcat windows is,Medium,1,Evaluation-Android,b)Log class,a)Toast Class,b)Log class,c)makeTest class,d)Show class
224,Tab that shows system and error messages is,Easy,1,Evaluation-Android,b)messages,a)terminal,b)messages,c)TODO,d)comments
225,"In android studio, tab in which memory usage of app is shown is called",Easy,1,Evaluation-Android,b)memory,a)CPU,b)memory,c)ADB logs,d)logcat
226,"In android studio, service that provides client-server interface is",Easy,1,Evaluation-Android,c)startService(),a)bindService(),b)onStart(),c)startService(),d)onCreate()
227,"To generate custom intents in android, method is used is",Hard,1,Evaluation-Android,c)broadcastIntent(),a)broadcastCreate(),b)broadcastReceive(),c)broadcastIntent(),d)broadcastStart()
228,"Android library that provides access to content, its publishing and messaging among app components is",Expert,1,Evaluation-Android,d)android.content,a)android.app,b)android.database,c)android.opengl,d)android.content
229,Broadcast that displays information of low battery,Easy,1,Evaluation-Android,d)android.intent.action.BATTERY_LOW,a)android.intent.action.REBOOT,b)android.intent.action.BATTERY_CHANGED,c)android.intent.action.BATTERY_OKAY,d)android.intent.action.BATTERY_LOW
230,"In android studio, callback that is when activity is no longer visible is",Medium,1,Evaluation-Android,b)onStop,a)onDestroy,b)onStop,c)onRestart,d)onResume
231,A type of layout element that allows its children relative position depiction is,Easy,1,Evaluation-Android,a)RelativeLayout,a)RelativeLayout,b)TextviewLayout,c)LinearLayout,d)ConstraintLayout
232,To create a unit of code within a method signature that can be extend or shrink is enclosed by,Expert,1,Evaluation-Android,b){},a)[],b){},c)(),d)||
233,Required android tools for development is called,Easy,1,Evaluation-Android,d)SDK,a)APK,b)JDK,c)IDE,d)SDK
234,"In which way , JSON reader permits to read string values?",Expert,1,Evaluation-Android,a.as numbers,a.as numbers,b.as array,c.as structure,d.none
235,Which method works to read next element from JSON array?,Hard,1,Evaluation-Android,c.both a & b,a.nextInt,b.nextString,c.both a & b,d.none
236,"To minimize loss, how large numeric values should be written in JSON?",Medium,1,Evaluation-Android,a. as string,a. as string,b.as array,c.as it is,d.none
237,"To maintain precision, how large numeric values should be read in JSON?",Medium,1,Evaluation-Android,a. as string,a. as string,b.as array,c.as structure,d.as ponter
238,How many JSON streams a JSON reader should read?,Medium,1,Evaluation-Android,b.single JSON stream,a.double stream,b.single JSON stream,c.mixed data stream,d.null stream
239,JSON reader is __. Fill the gap,Easy,1,Evaluation-Android,c.not threadsafe,a.thread vulnurable,b. thread safe,c.not threadsafe,d.risky
240,What is a base adapter in android?,Expert,1,Evaluation-Android,"a) Base Adapter is a common class for any adapter, which can we use for both ListView and spinner","a) Base Adapter is a common class for any adapter, which can we use for both ListView and spinner",b) A kind of adapter,c) Data storage space,d) None of the above.
241,How to declare an integer array in Android ,Medium,1,Evaluation-Android,a)  int[] IntegerArray = new int[5];,a)  int[] IntegerArray = new int[5];,b)  int IntegerArray = new int[5];,c)  int[] IntegerArray =  int[5];,d) All of them
242,How to Assign a single value to  a fixed position of an  array,Medium,1,Evaluation-Android,b) IntegerArray[3] = 4;,a) IntegerArray = 4;,b) IntegerArray[3] = 4;,c)  IntegerArray(3])= 4;,d) int a=4
243,How to assign multiple values to an array,Hard,1,Evaluation-Android,"c) int[] IntegerArray = new int[] {1,2,3,4,5,6,7,8,9};","int[] IntegerArray = new int[] [1,2,3,4,5,6,7,8,9];","b) int[] IntegerArray = new int[] (1,2,3,4,5,6,7,8,9);","c) int[] IntegerArray = new int[] {1,2,3,4,5,6,7,8,9};","d) int IntegerArray = new int[] {1,2,3,4,5,6,7,8,9};"
244,Which class contains various methods for manipulating arrays in android?,Hard,1,Evaluation-Android,b)  java.util.Arrays,java.lang.Class,b)  java.util.Arrays,c) java.lang.nullpointerexception,d) java.lang.ClassNotFoundException
245,What is the function of static <T> List<T> asList(T... a),Hard,1,Evaluation-Android,a)Returns a fixed-size list backed by the specified array.,a)Returns a fixed-size list backed by the specified array.,b) Replace a fixed-size list  by the specified array.,c) Remove a fixed-size list  ,d) Pass a fixed-size list from one to another.
246,A type of service provided by android that allows sharing and publishing of data to other applications is,Easy,1,Evaluation-Android,b)  Content Providers,a) View System,b)  Content Providers,c)  Activity Manager,d)  Notifications Manager
247,What data types are supported by AIDL?,Easy,1,Evaluation-Android,d) all of them,a. string,b) charSequence,c)  List,d)  all of them
248,Which of the following Java classe related to the use of sensors on the Android platform.,Medium,1,Evaluation-Android,b) all of them,a. Sensor,b)  all of them,c)  SensorManager,d)  SensorEvent
249,Which of the following is correct for array in android,Easy,1,Evaluation-Android,a) An Array is a fixed-length data structure,a) An Array is a fixed-length data structure,b)  An Array is a variable-length data structure,c)  None of them,d) All of them
250,An ARRAYLIST in android is variable length data structure,Easy,1,Evaluation-Android,b) True,a) False ,b)  True,,
251,WHICH OF THE FOLLOWING METHODS IS BETTER TO USE IN ANDROID?,Expert,1,Evaluation-Android,"c) public void two() {
int sum = 0;
for (Foo a : mArray) {
sum += a.mSplat;
}
}
","a) public void zero() {
int sum = 0;
for (int i = 0; i < mArray.length; ++i) {
sum += mArray[i].mSplat;
}
}
","b) public void one() {
int sum = 0;
Foo[] localArray = mArray;
int len = localArray.length;
for (int i = 0; i < len; ++i) {
sum += localArray[i].mSplat;
}
}
","c) public void two() {
int sum = 0;
for (Foo a : mArray) {
sum += a.mSplat;
}
}
",d) All of them
252,"Android library that provides access to UI pre-built elements such as buttons, lists, views etc. is",Hard,1,Evaluation-Android,a) android.webkit,a) android.text,b) android.os,c)  android.view,d)  android.webkit
253,Which one is NOT related to fragment class?,Easy,1,Evaluation-Android,d)   cursorFragment,a )   dialogFragment,b)  listFragment,c)    preferenceFragment,d)    cursorFragment
254,Which provides more advantages,Medium,1,Evaluation-Android,b) RecycleView,a) ListView,b)  RecycleView,c) All of them,d) None of them
255,Which accept any type of content within its cell without trouble?,Medium,1,Evaluation-Android,b) RecycleView,a) ListView,b)  RecycleView,c) All of them,d) None of them
256,What are the Direct subclasses of Activity?,Easy,1,Evaluation-Android, d)   all the aove,a )   ListActivity,b)    ActivityGroup,c)    FragmentActivity,d)  all the aove
257,What is contained within the manifest xml file?,Easy,1,Evaluation-Android, a)   The permissions the app requires, a)   The permissions the app requires, b)    The list of strings used in the app,c)    The source code,d)   All other choices
258,Which of the following can be used to bind data from an SQL database to a ListView in an Android application?,Medium,1,Evaluation-Android,b)   SimpleCursorAdapter,a )   SimpleCursor,b) )   SimpleCursorAdapter,c)    SimpleAdapter,d)  SQLiteCursor
259,What is the main difference between set and list in android?,Easy,1,Evaluation-Android,d) B & C,a) Both are same,b)  Set can't contain duplicate values,c)  List may contain duplicate values,d) B & C
260,What are the functionalities of HTTP Client interface in android? ,Easy,1,Evaluation-Android,d) All of the above,a) Connection management,b)  Cookies management,c)  Authentication management,d)  All of the above
261,What is an HTTP client class in android? ,Easy,1,Evaluation-Android,a) httprequest(get/post) and returns response from the server,a) httprequest(get/post) and returns response from the server,b)  Cookies management,c)  Authentication management,d)  None of the above
262,How to get current location in android? ,Easy,1,Evaluation-Android,c) A & B,a) Using with GPRS,b)  Using location provider,c)  A & B,d)  Network servers
263,Lists and adapters are more organizational aids than user interface elements in Android.,Medium,1,Evaluation-Android,a) True,a) True,b) False,,
264,Which is the correct explanation of ListView?,Easy,1,Evaluation-Android,d) ListView has a function to display a list of uniquely defined Views other than TextView.,a) It is necessary to use ListView as a set with ListActivity.,b) You cannot use a ListView when there is no information to be displayed.,"c)  When displaying a list of Strings using an ArrayAdapter class in ListView, you must save the value in an ArrayList.",d) ListView has a function to display a list of uniquely defined Views other than TextView.
265,The values of which of the following classes cannot be mapped in a Bundle object?,Easy,1,Evaluation-Android,d) Context,a) Parcelable,b)  String,c)  ArrayList,d)  Context
266,"Which of the following is not a ContentProvider provided natively by Android?

",Easy,1,Evaluation-Android,d) The application list,a) The contacts list,b)  The telephone log,c)  The bookmarks,d)  The application list
267,In which Activity life-cycle method you should do all of your normal static set up such as: creating views and bind data to lists?,Easy,1,Evaluation-Android,c) onCreate(),a) onResume(),b)  onStart(),c)  onCreate(),d)  onPause()
268,Which of the following best explains the Android option menus?,Easy,1,Evaluation-Android,"c) It is the primary collection of menu items for an activity where you should place actions that have a global impact on the app, such as ""Search,"" ""Compose email,"" and ""settings.""",a) It is a popup menu that displays a list of items in a vertical list anchored to the view that invoked the menu.,b)  It is a floating menu that appears when the user performs a long-click on an element. It provides actions that affect the selected content or context frame.,"c)  It is the primary collection of menu items for an activity where you should place actions that have a global impact on the app, such as ""Search,"" ""Compose email,"" and ""Settings.""",d)  It is a type of List Activity with predefined headers and footers for special commands.
269,Which of the following applies a context menu on a ListView?,Easy,1,Evaluation-Android,d) B & C,a. ListView lv = getListView(); lv.registerForContextMenu(),b)  ListView lv= getListView(); registerForContextMenu(lv);,c)  ListView lv = (ListView) findViewById(R.id.list_view_id); registerForContextMenu(lv),d)  B & C
